1;Mary;Jones;maryjones@gmail.com;FTL;
2;Jim;McFlee;jimmcflee@gmail.com;FTL;
3;Helen;Sting;helensting@gmail.com;FTL;
4;Larry;Lane;larrylane@gmail.com;FTL;
5;Mike;Randall;mikerandall@gmail.com;IBM;
6;Steve;Sigmundson;stevesigmundson@yahoo.com;IBM;
7;Aaron;Simmons;aaronsimmons@hotmail.com;IBM;
8;Lance;Armstrong;lancearmstrong@yahoo.com;IBM;
9;Leroy;Jenkins;leroyjenkins@talk.com;Melon;
10;Andrea;Serotti;andreaserotti@yahoo.it;Melon;
11;Indra;Evensen;indraevensen@hotmail.com;Melon;
12;Mikael;Akerfield;makerfield@yahoo.com;Melon;
13;Frodo;Baggins;frodobaggins@theshire.mi;Melon;
